EG(+)		EG(-)		EG(+)& St(+)		EG(+)& St(-)		EG(-)& St(+)		EG(-)& St(-)	
6890	CR	CDS	3509082	3509444	-	-	414575	-			
6892	CR	CDS	3509461	3510366	-	-	414196	-			
6894	CR	CDS	3510656	3511660	-	+	413001	-			
6896	CR	CDS	3511653	3512411	-	-	412004	-			
6898	CR	CDS	3512404	3513081	-	+	411253	-			
6900	CR	CDS	3513099	3513935	-	-	410558	-			
6902	CR	CDS	3514042	3515328	-	-	409615	-			
6904	CR	CDS	3515420	3516508	-	-	408237	-			
6906	CR	CDS	3516565	3517086	-	+	407092	-			
6908	CR	CDS	3517487	3518725	-	-	406170	-			
6910	CR	CDS	3518637	3519041	-	-	405020	-			
6912	CR	CDS	3519031	3519471	-	-	404626	-			
6914	CR	CDS	3519455	3519994	-	-	404202	-			
6916	CR	CDS	3519994	3520773	-	-	403663	-			
6918	CR	CDS	3520893	3523445	+	-	400212	-			
6920	CR	CDS	3523611	3524171	-	-	400046	-			
6922	CR	CDS	3524491	3526626	+	+	397031	-			
6924	CR	CDS	3526691	3527359	+	-	396298	-			
6926	CR	CDS	3527370	3527771	+	-	395886	-			
6928	CR	CDS	3527796	3528674	+	-	394983	-			
6930	CR	CDS	3528737	3530461	-	-	394920	-			
6932	CR	CDS	3530840	3532462	+	-	391195	-			
6934	CR	CDS	3532538	3533890	-	-	391119	-			
6936	CR	CDS	3533887	3534606	-	-	389770	-			
6938	CR	CDS	3534834	3535310	+	-	388347	-			
6940	CR	CDS	3535407	3537728	+	-	385929	-			
6942	CR	CDS	3538185	3538412	+	-	385245	-			
6944	CR	CDS	3538429	3540750	+	-	382907	-			
6946	CR	CDS	3540750	3540986	+	-	382671	-			
6948	CR	CDS	3541189	3542067	+	-	381590	-			
6950	CR	CDS	3542096	3542866	-	-	381561	-			
6952	CR	CDS	3542904	3543587	+	-	380070	-			
6954	CR	CDS	3543646	3544221	+	-	379436	-			
6956	CR	CDS	3544581	3545897	+	-	377760	-			
6958	CR	CDS	3546008	3548092	-	-	377649	-			
6960	CR	CDS	3548102	3550495	-	-	375555	-			
6962	CR	CDS	3551107	3553812	+	-	369845	-			
6964	CR	CDS	3553855	3554871	-	-	369802	-			
6966	CR	CDS	3554875	3556101	-	-	368782	-			
6968	CR	CDS	3556290	3557888	+	-	365769	-			
6970	CR	CDS	3557870	3558628	-	-	365787	-			
6972	CR	CDS	3558645	3559475	-	-	365012	-			
6974	CR	CDS	3559520	3559846	-	-	364137	-			
6976	CR	CDS	3560036	3561541	+	-	362116	-			
6978	CR	CDS	3561810	3562028	-	-	361847	-			
6980	CR	CDS	3562157	3564604	-	-	361500	-			
6982	CR	CDS	3564623	3566056	-	-	359034	-			
6984	CR	CDS	3566056	3567351	-	-	357601	-			
6986	CR	CDS	3567369	3569342	-	-	356288	-			
6988	CR	CDS	3569339	3571525	-	-	354318	-			
6990	CR	CDS	3571798	3572901	-	+	351859	-			
6992	CR	CDS	3573094	3573687	+	-	349970	-			
6994	CR	CDS	3573744	3575084	-	-	349913	-			
6996	CR	CDS	3575088	3575615	-	-	348569	-			
6998	CR	CDS	3575754	3576749	-	-	347903	-			
7000	CR	CDS	3576973	3577668	-	-	346684	-			
7002	CR	CDS	3577791	3578828	-	-	345866	-			
7004	CR	ncRNA	3578950	3579039	-	-	344707	-			
7006	CR	CDS	3579161	3579649	+	-	344008	-			
7008	CR	CDS	3579886	3581064	+	-	342593	-			
7010	CR	CDS	3581061	3582332	+	-	341325	-			
7012	CR	CDS	3581506	3581781	+	+	341876	-			
7014	CR	CDS	3581700	3582203	+	-	341454	-			
7016	CR	CDS	3582427	3582582	+	-	341075	-			
7018	CR	CDS	3582782	3583066	+	-	340591	-			
7020	CR	CDS	3583104	3584846	-	-	340553	-			
7022	CR	CDS	3584966	3585406	+	-	338251	-			
7024	CR	CDS	3585393	3586136	-	-	338264	-			
7026	CR	CDS	3586133	3587203	-	-	337524	-			
7028	CR	CDS	3587205	3588050	-	-	336452	-			
7030	CR	CDS	3588047	3588934	-	-	335610	-			
7032	CR	CDS	3589032	3590348	-	-	334625	-			
7034	CR	CDS	3590747	3591460	-	-	332910	-			
7036	CR	CDS	3591462	3592229	-	-	332195	-			
7038	CR	CDS	3592226	3593503	-	-	331431	-			
7040	CR	CDS	3593500	3594426	-	-	330157	-			
7042	CR	CDS	3594474	3595583	-	-	329183	-			
7044	CR	CDS	3596007	3596390	+	-	327267	-			
7046	CR	CDS	3596578	3597681	-	-	327079	-			
7048	CR	CDS	3597952	3598806	-	+	325705	-			
7050	CR	CDS	3599051	3600109	-	+	324606	-			
7052	CR	CDS	3600102	3600770	-	+	323555	-			
7054	CR	CDS	3600773	3602266	-	+	322884	-			
7056	CR	CDS	3602416	3603012	+	+	320645	-			
7058	CR	CDS	3603002	3603271	+	+	320386	-			
7060	CR	CDS	3603274	3603633	-	+	320383	-			
7062	CR	CDS	3603774	3604400	+	-	319257	-			
7064	CR	CDS	3604474	3606672	+	-	316985	-			
7066	CR	CDS	3606774	3607019	-	-	316883	-			
7068	CR	CDS	3607240	3607905	+	+	315752	-			
7070	CR	CDS	3607978	3608535	+	-	315122	-			
7072	CR	CDS	3608539	3609756	-	-	315118	-			
7074	CR	CDS	3609888	3610937	+	-	312720	-			
7076	CR	CDS	3610992	3611579	+	-	312078	-			
7078	CR	CDS	3611690	3613264	+	-	310393	-			
7080	CR	CDS	3613264	3614208	+	-	309449	-			
7082	CR	CDS	3614205	3615038	+	-	308619	-			
7084	CR	CDS	3615038	3615802	+	-	307855	-			
7086	CR	CDS	3615799	3616605	+	-	307052	-			
7088	CR	CDS	3616611	3617012	+	-	306645	-			
7090	CR	CDS	3617215	3621450	+	-	302207	-			
7092	CR	CDS	3621422	3621805	+	-	301852	-			
7094	CR	CDS	3621910	3622260	+	-	301397	-			
7096	CR	CDS	3622401	3623537	+	-	300120	-			
7098	CR	CDS	3623702	3624826	-	-	299955	-			
7100	CR	CDS	3624826	3627561	-	-	298831	-			
7102	CR	CDS	3627558	3628625	-	-	296099	-			
7104	CR	CDS	3628991	3630613	-	-	294666	-			
7106	CR	CDS	3630875	3632481	-	-	292782	-			
7108	CR	CDS	3632864	3633916	+	-	289741	-			
7110	CR	CDS	3634231	3635433	-	-	289426	-			
7112	CR	CDS	3635665	3637164	+	-	286493	-			
7114	CR	CDS	3637408	3637743	-	-	286249	-			
7116	CR	CDS	3638134	3638568	+	-	285089	-			
7118	CR	CDS	3638885	3640354	+	-	283303	-			
7120	CR	CDS	3640403	3641155	-	-	283254	-			
7122	CR	CDS	3641163	3643205	-	-	282494	-			
7124	CR	CDS	3643408	3644250	+	-	279407	-			
7126	CR	CDS	3644322	3645674	+	+	277983	-			
7128	CR	CDS	3645728	3645856	-	-	277929	-			
7130	CR	CDS	3646551	3646904	+	-	276753	-			
7132	CR	CDS	3646958	3648247	+	-	275410	-			
7134	CR	CDS	3648260	3648685	+	-	274972	-			
7136	CR	CDS	3649314	3651736	+	-	271921	-			
7138	CR	CDS	3650205	3651221	-	-	273452	-			
7140	CR	CDS	3651984	3652550	+	+	271107	-			
7142	CR	CDS	3652706	3653236	+	-	270421	-			
7144	CR	CDS	3653278	3653925	-	-	270379	-			
7146	CR	CDS	3653989	3654315	-	-	269668	-			
7148	CR	CDS	3654431	3654763	-	-	269226	-			
7150	CR	CDS	3655018	3655590	+	-	268067	-			
7152	CR	CDS	3656389	3656916	+	-	266741	-			
7154	CR	CDS	3657255	3658412	+	-	265245	-			
7156	CR	CDS	3658437	3661550	+	-	262107	-			
7158	CR	CDS	3661913	3662641	-	-	261744	-			
7160	CR	ncRNA	3662887	3662991	+	-	260666	-			
7162	CR	CDS	3663009	3663833	-	-	260648	-			
7164	CR	CDS	3664203	3665603	-	-	259454	-			
7166	CR	CDS	3665814	3667211	-	-	257843	-			
7168	CR	CDS	3667615	3669264	+	-	254393	-			
7170	CR	CDS	3669315	3669917	-	-	254342	-			
7172	CR	CDS	3670437	3671336	+	-	252321	-			
7174	CR	CDS	3671385	3672398	+	-	251259	-			
7176	CR	CDS	3672809	3674131	+	-	249526	-			
7178	CR	CDS	3674313	3676373	-	-	249344	-			
7180	CR	CDS	3676443	3677210	-	-	247214	-			
7182	CR	CDS	3677442	3678371	+	-	245286	-			
7184	CR	CDS	3678467	3679963	-	-	245190	-			
7186	CR	CDS	3680184	3681470	-	-	243473	-			
7188	CR	CDS	3681653	3683641	-	-	242004	-			
7190	CR	CDS	3683723	3687196	-	-	239934	-			
7192	CR	CDS	3687178	3688284	-	-	236479	-			
7194	CR	CDS	3688291	3690630	-	+	235366	-			
7196	CR	CDS	3690641	3693259	-	-	233016	-			
7198	CR	CDS	3693256	3694008	-	-	230401	-			
7200	CR	CDS	3694020	3694208	-	-	229637	-			
7202	CR	CDS	3694481	3696052	+	-	227605	-			
7204	CR	CDS	3696049	3696240	+	-	227417	-			
7206	CR	CDS	3696237	3697916	+	-	225741	-			
7208	CR	CDS	3698003	3698110	-	-	225654	-			
7210	CR	ncRNA	3698159	3698224	+	-	225433	-			
7212	CR	CDS	3698586	3699857	+	-	223800	-			
7214	CR	CDS	3699887	3700891	-	-	223770	-			
7216	CR	CDS	3700888	3701871	-	-	222769	-			
7218	CR	CDS	3701882	3702784	-	-	221775	-			
7220	CR	CDS	3702794	3703813	-	-	220863	-			
7222	CR	CDS	3704121	3705728	-	-	219536	-			
7224	CR	tRNA	3706639	3706715	-	-	217018	-			
7226	CR	CDS	3706807	3708498	-	-	216850	-			
7228	CR	CDS	3708822	3710030	-	-	214835	-			
7230	CR	CDS	3710259	3710957	-	-	213398	-			
7232	CR	CDS	3711115	3711678	+	-	211979	-			
7234	CR	CDS	3711675	3712115	+	-	211542	-			
7236	CR	CDS	3712084	3714417	-	-	211573	-			
7238	CR	CDS	3714570	3715229	+	-	208428	-			
7240	CR	CDS	3715333	3716307	+	-	207350	-			
7242	CR	CDS	3716357	3717067	-	-	207300	-			
7244	CR	CDS	3717501	3717791	+	-	205866	-			
7246	CR	CDS	3718072	3718284	+	-	205373	-			
7248	CR	CDS	3718471	3718655	-	-	205186	-			
7250	CR	CDS	3718471	3718623	-	-	205186	-			
7252	CR	CDS	3718703	3719224	+	-	204433	-			
7254	CR	CDS	3719221	3720072	+	-	203585	-			
7256	CR	ncRNA	3720099	3720128	+	-	203529	-			
7258	CR	CDS	3720351	3722420	-	+	203306	-			
7260	CR	CDS	3722430	3723341	-	+	201227	-			
7262	CR	CDS	3723436	3723735	-	-	200221	-			
7264	CR	CDS	3723910	3724905	+	-	198752	-			
7266	CR	CDS	3724947	3725384	-	-	198710	-			
7268	CR	CDS	3725430	3725771	-	-	198227	-			
7270	CR	CDS	3725940	3727394	-	-	197717	-			
7272	CR	CDS	3727466	3728788	-	-	196191	-			
7274	CR	CDS	3729154	3730146	+	-	193511	-			
7276	CR	CDS	3730224	3731765	+	-	191892	-			
7278	CR	CDS	3731743	3732924	+	-	190733	-			
7280	CR	CDS	3733002	3734180	+	-	189477	-			
7282	CR	CDS	3734376	3735200	-	-	189281	-			
7284	CR	CDS	3735520	3737550	+	-	186107	-			
7286	CR	CDS	3737728	3738981	+	-	184676	-			
7288	CR	CDS	3739132	3739605	-	-	184525	-			
7290	CR	CDS	3739707	3740555	-	-	183950	-			
7292	CR	CDS	3740756	3741754	+	-	181903	-			
7294	CR	CDS	3741766	3742233	+	-	181424	-			
7296	CR	CDS	3742351	3742824	+	-	180833	-			
7298	CR	CDS	3742827	3744104	+	-	179553	-			
7300	CR	CDS	3744117	3745103	+	-	178554	-			
7302	CR	CDS	3745107	3746603	+	-	177054	-			
7304	CR	CDS	3746600	3747262	+	-	176395	-			
7306	CR	CDS	3747255	3748115	+	-	175542	-			
7308	CR	CDS	3748109	3748804	+	-	174853	-			
7310	CR	CDS	3748836	3748937	-	-	174821	-			
7312	CR	CDS	3748941	3749132	+	-	174525	-			
7314	CR	CDS	3749151	3749891	-	-	174506	-			
7316	CR	CDS	3750015	3750989	+	-	172668	-			
7318	CR	CDS	3750986	3752122	-	-	172671	-			
7320	CR	CDS	3752128	3752451	-	-	171529	-			
7322	CR	CDS	3752996	3754534	-	-	170661	-			
7324	CR	CDS	3754699	3755850	-	-	168958	-			
7326	CR	CDS	3756040	3757884	-	-	167617	-			
7328	CR	CDS	3757881	3759272	-	-	165776	-			
7330	CR	CDS	3759370	3759978	-	-	164287	-			
7332	CR	CDS	3760206	3764339	+	-	159318	-			
7334	CR	CDS	3764360	3765202	+	+	158455	-			
7336	CR	CDS	3765244	3766188	+	-	157469	-			
7338	CR	CDS	3766200	3766661	+	+	156996	-			
7340	CR	CDS	3766662	3766913	+	-	156744	-			
7342	CR	CDS	3766915	3767279	+	-	156378	-			
7344	CR	CDS	3767368	3767806	+	-	155851	-			
7346	CR	CDS	3767971	3768169	+	-	155488	-			
7348	CR	CDS	3768266	3769402	-	-	155391	-			
7350	CR	CDS	3769405	3769767	-	-	154252	-			
7352	CR	CDS	3770304	3772217	+	-	151440	-			
7354	CR	CDS	3772447	3773595	+	-	150062	-			
7356	CR	CDS	3773595	3774182	+	-	149475	-			
7358	CR	CDS	3774194	3774403	-	-	149463	-			
7360	CR	CDS	3774688	3775050	+	-	148607	-			
7362	CR	CDS	3775422	3777077	+	-	146580	-			
7364	CR	CDS	3777077	3777853	+	-	145804	-			
7366	CR	CDS	3777850	3779040	+	-	144617	-			
7368	CR	CDS	3779238	3779711	+	-	143946	-			
7370	CR	CDS	3779764	3780585	-	+	143893	-			
7372	CR	CDS	3780665	3781684	-	+	142992	-			
7374	CR	CDS	3781684	3782151	-	+	141973	-			
7376	CR	CDS	3782214	3782465	-	-	141443	-			
7378	CR	CDS	3782607	3783038	-	-	141050	-			
7380	CR	CDS	3783283	3784827	+	-	138830	-			
7382	CR	CDS	3784861	3786120	+	-	137537	-			
7384	CR	CDS	3786124	3787083	+	-	136574	-			
7386	CR	CDS	3787070	3788104	-	-	136587	-			
7388	CR	CDS	3788343	3789368	-	-	135314	-			
7390	CR	CDS	3789378	3790574	-	-	134279	-			
7392	CR	CDS	3790849	3791706	-	-	132808	-			
7394	CR	CDS	3792010	3792942	+	-	130715	-			
7396	CR	CDS	3792952	3793998	+	-	129659	-			
7398	CR	CDS	3794002	3794961	+	+	128696	-			
7400	CR	CDS	3794971	3796230	+	-	127427	-			
7402	CR	CDS	3796262	3797335	-	+	127395	-			
7404	CR	CDS	3797368	3798219	-	-	126289	-			
7406	CR	CDS	3798290	3798988	-	-	125367	-			
7408	CR	CDS	3799006	3800022	-	-	124651	-			
7410	CR	CDS	3800062	3801081	-	-	123595	-			
7412	CR	CDS	3801081	3802160	-	-	122576	-			
7414	CR	CDS	3802204	3803139	-	-	121453	-			
7416	CR	CDS	3803176	3803973	-	-	120481	-			
7418	CR	CDS	3803966	3805090	-	-	119691	-			
7420	CR	CDS	3805087	3806121	-	-	118570	-			
7422	CR	CDS	3806563	3807840	+	+	115817	-			
7424	CR	CDS	3807848	3808327	+	+	115330	-			
7426	CR	CDS	3808366	3809175	-	-	115291	-			
7428	CR	CDS	3809273	3809440	-	-	114384	-			
7430	CR	CDS	3809461	3809697	-	+	114196	-			
7432	CR	CDS	3809914	3810582	-	-	113743	-			
7434	CR	CDS	3810754	3811974	+	-	111683	-			
7436	CR	CDS	3811955	3812410	+	+	111247	-			
7438	CR	CDS	3812517	3813113	+	-	110544	-			
7440	CR	CDS	3813150	3813791	-	-	110507	-			
7442	CR	CDS	3813886	3814572	-	-	109771	-			
7444	CR	CDS	3814699	3815562	+	-	108095	-			
7446	CR	CDS	3815783	3816607	+	-	107050	-			
7448	CR	CDS	3816897	3817514	+	-	106143	-			
7450	CR	CDS	3817511	3819193	-	-	106146	-			
7452	CR	CDS	3819451	3820074	+	+	103583	-			
7454	CR	CDS	3820129	3820404	+	-	103253	-			
7456	CR	CDS	3820423	3822531	+	-	101126	-			
7458	CR	CDS	3822538	3823227	+	-	100430	-			
7460	CR	CDS	3823233	3825314	+	-	98343	-			
7462	CR	CDS	3825483	3826688	-	-	98174	-			
7464	CR	CDS	3826968	3828359	+	-	95298	-			
7466	CR	CDS	3828480	3830189	+	-	93468	-			
7468	CR	CDS	3830242	3832560	-	-	93415	-			
7470	CR	CDS	3832570	3833952	-	-	91087	-			
7472	CR	tRNA	3834245	3834339	+	-	89318	-			
7474	CR	CDS	3834448	3834579	+	-	89078	-			
7476	CR	CDS	3834976	3836160	+	-	87497	-			
7478	CR	CDS	3836271	3837194	+	-	86463	-			
7480	CR	CDS	3837198	3838016	-	-	86459	-			
7482	CR	CDS	3838238	3838531	+	-	85126	-			
7484	CR	CDS	3838572	3839762	-	-	85085	-			
7486	CR	CDS	3839973	3840425	-	-	83684	-			
7488	CR	CDS	3840478	3841812	-	-	83179	-			
7490	CR	CDS	3841987	3843753	+	-	79904	-			
7492	CR	CDS	3843799	3845190	-	-	79858	-			
7494	CR	CDS	3845328	3846647	-	-	78329	-			
7496	CR	CDS	3846657	3848159	-	-	77000	-			
7498	CR	CDS	3848159	3848749	-	-	75498	-			
7500	CR	CDS	3848825	3849115	-	-	74832	-			
7502	CR	CDS	3849119	3850807	-	-	74538	-			
7504	CR	CDS	3850913	3851011	-	-	72744	-			
7506	CR	ncRNA	3851141	3851280	-	-	72516	-			
7508	CR	CDS	3851576	3851665	+	-	71992	-			
7510	CR	CDS	3851945	3853129	+	-	70528	-			
7512	CR	CDS	3853137	3853634	-	-	70520	-			
7514	CR	CDS	3853631	3853993	-	-	70026	-			
7516	CR	CDS	3853983	3854330	-	-	69674	-			
7518	CR	CDS	3854438	3854887	+	-	68770	-			
7520	CR	CDS	3854934	3856427	-	-	68723	-			
7522	CR	CDS	3856424	3858139	-	-	67233	-			
7524	CR	CDS	3858306	3859199	+	-	64458	-			
7526	CR	CDS	3859196	3860010	-	-	64461	-			
7528	CR	CDS	3860010	3861626	-	-	63647	-			
7530	CR	CDS	3861922	3862638	+	+	61019	-			
7532	CR	CDS	3862635	3864296	-	-	61022	-			
7534	CR	CDS	3864492	3864920	-	-	59165	-			
7536	CR	CDS	3865032	3865445	-	-	58625	-			
7538	CR	CDS	3865751	3866083	+	-	57574	-			
7540	CR	CDS	3866085	3867332	-	-	57572	-			
7542	CR	CDS	3867400	3868464	+	-	55193	-			
7544	CR	CDS	3868461	3869753	-	-	55196	-			
7546	CR	CDS	3869873	3871021	-	-	53784	-			
7548	CR	CDS	3871018	3871635	-	-	52639	-			
7550	CR	CDS	3871619	3872497	-	-	52038	-			
7552	CR	CDS	3872494	3873183	-	-	51163	-			
7554	CR	CDS	3873461	3874117	+	-	49540	-			
7556	CR	CDS	3874163	3874975	-	-	49494	-			
7558	CR	CDS	3875090	3875488	-	-	48567	-			
7560	CR	CDS	3875728	3878142	-	+	47929	-			
7562	CR	CDS	3878171	3879244	-	-	45486	-			
7564	CR	CDS	3879244	3880344	-	+	44413	-			
7566	CR	CDS	3880349	3881752	-	+	43308	-			
7568	CR	CDS	3882359	3882499	+	+	41158	-			
7570	CR	CDS	3882516	3882875	+	+	40782	-			
7572	CR	CDS	3882839	3883096	+	-	40561	-			
7574	CR	CDS	3883099	3884745	+	+	38912	-			
7576	CR	CDS	3884851	3886215	+	+	37442	-			
7578	CR	CDS	3886458	3886532	+	-	37125	-			
7580	CR	CDS	3886753	3888168	+	-	35489	-			
7582	CR	CDS	3888259	3889506	+	+	34151	-			
7584	CR	CDS	3889638	3890813	+	-	32844	-			
7586	CR	CDS	3890788	3891747	+	-	31910	-			
7588	CR	CDS	3891904	3892653	+	-	31004	-			
7590	CR	CDS	3892675	3893241	+	-	30416	-			
7592	CR	CDS	3893295	3894632	-	-	30362	-			
7594	CR	CDS	3894797	3895462	+	-	28195	-			
7596	CR	CDS	3895529	3895996	+	-	27661	-			
7598	CR	CDS	3896045	3896632	+	-	27025	-			
7600	CR	CDS	3896694	3897416	-	-	26963	-			
7602	CR	CDS	3897431	3898600	-	+	26226	-			
7604	CR	CDS	3898627	3900243	-	-	25030	-			
7606	CR	CDS	3900312	3901724	-	-	23345	-			
7608	CR	CDS	3901743	3903620	-	-	21914	-			
7610	CR	CDS	3903754	3904590	-	-	19903	-			
7612	CR	CDS	3904876	3905601	-	-	18781	-			
7614	CR	CDS	3905616	3906389	-	-	18041	-			
7616	CR	CDS	3906572	3907462	-	-	17085	-			
7618	CR	CDS	3907462	3908421	-	-	16195	-			
7620	CR	CDS	3908508	3909548	-	-	15149	-			
7622	CR	CDS	3909862	3911691	-	+	13795	-			
7624	CR	CDS	3911853	3913223	-	+	11804	-			
7626	CR	CDS	3913576	3913995	-	+	10081	-			
7628	CR	CDS	3914016	3915398	-	-	9641	-			
7630	CR	CDS	3915425	3916288	-	-	8232	-			
7632	CR	CDS	3916339	3917880	-	-	7318	-			
7634	CR	CDS	3917893	3918426	-	-	5764	-			
7636	CR	CDS	3918441	3918911	-	+	5216	-			
7638	CR	CDS	3918973	3919212	-	-	4684	-			
7640	CR	CDS	3919259	3920074	-	-	4398	-			
7642	CR	CDS	3920083	3920463	-	-	3574	-			
7644	CR	CDS	3921080	3921703	-	-	2577	-			
7646	CR	CDS	3921767	3923656	-	-	1890	-			
7648	CR	CDS	3924035	3924478	-	-	444	+			
7650	CR	CDS	3924568	3925026	-	-	992	+			
7652	CR	CDS	3925178	3926170	+	-	1144	+			
7654	CR	CDS	3926175	3927626	-	-	3592	+			
7656	CR	CDS	3927620	3929116	-	-	5082	+			
7658	CR	CDS	3929339	3931207	+	-	5305	+			
7660	CR	CDS	3931374	3931793	+	-	7340	+			
7662	CR	CDS	3931801	3933306	+	-	7767	+			
7664	CR	CDS	3933311	3934276	+	-	9277	+			
7666	CR	CDS	3934301	3935191	+	-	10267	+			
7668	CR	CDS	3935317	3936246	+	-	11283	+			
7670	CR	CDS	3936250	3937242	+	-	12216	+			
7672	CR	CDS	3937208	3938635	-	-	14601	+			
7674	CR	CDS	3938658	3939350	-	-	15316	+			
7676	CR	rRNA	3939831	3941372	+	-	15797	+			
7678	CR	tRNA	3941458	3941533	+	-	17424	+			
7680	CR	rRNA	3941727	3944630	+	-	17693	+			
7682	CR	rRNA	3944723	3944842	+	-	20689	+			
7684	CR	tRNA	3944895	3944971	+	-	20861	+			
7686	CR	tRNA	3944980	3945055	+	-	20946	+			
7688	CR	CDS	3945151	3945990	-	-	21956	+			
7690	CR	CDS	3946109	3946447	+	-	22075	+			
7692	CR	CDS	3946472	3947992	-	-	23958	+			
7694	CR	CDS	3948345	3948443	+	-	24311	+			
7696	CR	CDS	3948530	3948580	+	-	24496	+			
7698	CR	CDS	3948583	3950227	+	-	24549	+			
7700	CR	CDS	3950224	3950487	+	-	26190	+			
7702	CR	CDS	3950507	3951436	+	-	26473	+			
7704	CR	CDS	3951501	3953351	+	-	27467	+			
7706	CR	CDS	3953354	3954898	+	-	29320	+			
7708	CR	CDS	3954950	3955843	-	-	31809	+			
7710	CR	CDS	3955993	3957468	+	-	31959	+			
7712	CR	CDS	3957555	3957836	-	-	33802	+			
7714	CR	CDS	3958035	3958483	-	-	34449	+			
7716	CR	CDS	3958700	3960721	+	+	34666	+			
7718	CR	CDS	3960768	3962252	-	-	38218	+			
7720	CR	CDS	3962388	3963653	-	-	39619	+			
7722	CR	CDS	3963784	3964113	+	-	39750	+			
7724	CR	CDS	3964440	3965699	+	-	40406	+			
7726	CR	CDS	3965939	3967042	+	-	41905	+			
7728	CR	CDS	3967054	3968100	+	-	43020	+			
7730	CR	CDS	3968156	3969286	+	-	44122	+			
7732	CR	CDS	3969283	3970545	+	-	45249	+			
7734	CR	CDS	3970545	3971612	+	-	46511	+			
7736	CR	CDS	3971631	3972512	+	-	47597	+			
7738	CR	CDS	3972490	3973164	+	-	48456	+			
7740	CR	CDS	3973169	3974299	+	-	49135	+			
7742	CR	CDS	3974301	3975551	+	-	50267	+			
7744	CR	CDS	3975548	3976627	+	-	51514	+			
7746	CR	CDS	3976624	3977976	+	+	52590	+			
7748	CR	CDS	3977979	3978719	+	-	53945	+			
7750	CR	CDS	3978910	3980295	+	-	54876	+			
7752	CR	tRNA	3980398	3980474	+	-	56364	+			
7754	CR	tRNA	3980532	3980608	+	-	56498	+			
7756	CR	tRNA	3980629	3980715	+	-	56595	+			
7758	CR	tRNA	3980758	3980834	+	-	56724	+			
7760	CR	CDS	3980981	3982216	+	-	56947	+			
7762	CR	CDS	3982375	3984030	-	-	59996	+			
7764	CR	ncRNA	3984455	3984626	+	-	60421	+			
7766	CR	CDS	3984709	3985905	-	-	61871	+			
7768	CR	CDS	3985908	3987089	-	-	63055	+			
7770	CR	CDS	3987111	3987851	-	+	63817	+			
7772	CR	CDS	3987848	3988789	-	+	64755	+			
7774	CR	CDS	3989176	3991722	+	-	65142	+			
7776	CR	CDS	3991762	3992082	-	-	68048	+			
7778	CR	CDS	3992545	3992748	+	-	68511	+			
7780	CR	CDS	3992785	3993609	+	+	68751	+			
7782	CR	CDS	3993606	3994313	+	-	69572	+			
7784	CR	CDS	3994310	3995206	+	+	70276	+			
7786	CR	CDS	3995206	3995922	+	-	71172	+			
7788	CR	CDS	3996006	3998168	+	-	71972	+			
7790	CR	CDS	3998315	3999079	-	-	75045	+			
7792	CR	CDS	3999449	4000399	+	+	75415	+			
7794	CR	CDS	4000442	4000822	-	-	76788	+			
7796	CR	CDS	4000836	4001216	-	-	77182	+			
7798	CR	CDS	4001311	4002201	-	-	78167	+			
7800	CR	CDS	4002253	4002720	-	-	78686	+			
7802	CR	CDS	4002885	4003754	+	-	78851	+			
7804	CR	CDS	4003887	4005716	+	-	79853	+			
7806	CR	CDS	4005780	4006400	+	-	81746	+			
7808	CR	CDS	4006462	4007082	-	-	83048	+			
7810	CR	CDS	4007193	4008215	+	-	83159	+			
7812	CR	CDS	4008223	4009023	+	-	84189	+			
7814	CR	CDS	4009099	4009998	+	-	85065	+			
7816	CR	CDS	4009886	4010839	-	-	86805	+			
7818	CR	CDS	4011076	4013337	+	-	87042	+			
7820	CR	CDS	4013377	4014192	-	-	90158	+			
7822	CR	CDS	4014454	4015215	+	-	90420	+			
7824	CR	CDS	4015356	4016783	+	-	91322	+			
7826	CR	CDS	4016878	4017633	+	+	92844	+			
7828	CR	CDS	4017647	4018252	+	+	93613	+			
7830	CR	CDS	4018249	4019889	+	+	94215	+			
7832	CR	CDS	4019968	4020237	+	-	95934	+			
7834	CR	CDS	4020241	4020756	+	-	96207	+			
7836	CR	CDS	4020759	4021535	+	-	96725	+			
7838	CR	CDS	4021577	4022359	+	-	97543	+			
7840	CR	CDS	4022356	4022844	-	-	98810	+			
7842	CR	CDS	4023011	4024504	+	+	98977	+			
7844	CR	CDS	4024550	4025251	+	-	100516	+			
7846	CR	CDS	4025632	4026795	-	-	102761	+			
7848	CR	CDS	4026805	4028994	-	-	104960	+			
7850	CR	CDS	4029184	4030515	+	-	105150	+			
7852	CR	CDS	4030515	4031129	+	-	106481	+			
7854	CR	CDS	4031168	4032619	+	-	107134	+			
7856	CR	CDS	4032631	4033176	+	+	108597	+			
7858	CR	rRNA	4033554	4035095	+	-	109520	+			
7860	CR	tRNA	4035164	4035240	+	-	111130	+			
7862	CR	tRNA	4035283	4035358	+	-	111249	+			
7864	CR	rRNA	4035542	4038446	+	-	111508	+			
7866	CR	rRNA	4038540	4038659	+	-	114506	+			
7868	CR	CDS	4038929	4039456	-	-	115422	+			
7870	CR	CDS	4039438	4040022	-	-	115988	+			
7872	CR	CDS	4040092	4040361	+	-	116058	+			
7874	CR	CDS	4040438	4041424	+	-	116404	+			
7876	CR	CDS	4041441	4042067	+	+	117407	+			
7878	CR	CDS	4042222	4043652	+	-	118188	+			
7880	CR	CDS	4043693	4044625	-	-	120591	+			
7882	CR	CDS	4044989	4047775	+	-	120955	+			
